boundary,verified_result,evidence_path,status,limitation
MATLAB_to_LTspice,"HPF 0.481174 Hz; IA 200.594 V/V; 60 Hz attenuation -83.557 dB; LPF 150.211 Hz; clipping 0",design/analog/ltspice/tables/matlab_ltspice_comparison.csv,PASS,"model-based circuit verification"
LTspice_to_XMODEL,"mean error +0.0221 LSB; MAE 0.6445 LSB; RMS 1.3020 LSB; correlation 0.999518; delay 0 sample",docs/INTEGRATION_VERIFICATION_KR.md,PASS,"fixed-report result; 10-second model comparison; not physical measurement"
Python_to_RTL,"prediction 36/36; four Final Membranes 144/144",design/digital/reports/final/final_metrics.json,PASS,"functional equivalence; not 100 percent classification accuracy"
Exact_CPP_to_RTL,"793595/793595 integer operations; 18/18 module traces; 240000/240000 states; 1080/1080 Snapshot boundaries",models/digital_equivalence/exact_cpp/results/equivalence_summary.json,PASS,"fixed locked design"
Full_top_RTL,"36/36 cases; 1800000 accepted samples; 30 Snapshots; one final decision per case",design/digital/reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_metadata.json,PASS,"sample_gap_cycles fixed by the canonical harness"
XMODEL_to_RTL_compact_acceptance,"input SHA-256 and final output 36/36",verification/xmodel_rtl_acceptance_36case/output_equivalence_36case.csv,PASS,"compact acceptance evidence; raw ADC dumps are not all retained"
XMODEL_raw_dump_rerun,"4/36 raw XMODEL ADC files present and reproduced",verification/xmodel_rtl_e2e/overall_summary.csv,PARTIAL,"32 raw 30-minute ADC dumps are absent from the repository"
AXI_IP,"AXI-Lite control/result and AXI-Stream wait/TLAST/done/IRQ testbenches 2/2",design/digital/reports/final/hardware_validation_result.md,PASS,"XSim interface verification"
MicroBlaze_FPGA,"final class 36/36 and four Final Membranes 144/144 versus XSim",design/digital/reports/final/board_replay_36_batch_summary.json,PASS,"hardware equivalence; not classification accuracy"
GPDK045_run2_core_RTL_canonical36,"scan-free PROFILE_EN=0 wrapper exact output 36/36",verification/asic_gpdk45_run2/regression/regression_summary.csv,PASS,"regenerated canonical digital inputs; not 36 raw XMODEL dumps"
GPDK045_run2_core_RTL_raw4,"actual raw XMODEL exact output 4/4",verification/asic_gpdk45_run2/regression/regression_summary.csv,PASS,"actual raw XMODEL archive remains 4/36"
GPDK045_run2_core_postroute_LEC,"6178 compare points; diff 0; abort 0; unknown 0",verification/asic_gpdk45_run2/lec/equivalence_summary.csv,PASS,"mapped-to-postroute logical equivalence only"
GPDK045_run2_AXI_postroute_LEC,"6287 compare points; diff 0; abort 0; unknown 0",verification/asic_gpdk45_run2/lec/equivalence_summary.csv,PASS,"AXI-inclusive accelerator block logical equivalence only"
GPDK045_run2_gate_unmodified_four_state,"full raw case0 output remains X",verification/asic_gpdk45_run2/gate/gate_verification_summary.csv,FAIL,"not a gate-level functional PASS"
GPDK045_run2_gate_forced_two_state,"mapped seeds 11/22/33 exact PASS; release at 10 ns; coverage 6045/6045; release X 0",verification/asic_gpdk45_run2/gate/gate_verification_summary.csv,CONDITIONAL_PASS,"testbench-only forced initialization sampled sensitivity; not power-up or reset robustness proof"
GPDK045_run2_MAX_SDF_pilot,"postroute seed11 exact PASS; coverage 6044/6044; 88 SDFNCAP warnings",verification/asic_gpdk45_run2/sdf/sdf_pilot_summary.csv,CONDITIONAL_PASS,"single-seed forced-initialization MAX-SDF pilot with timing checks disabled; not general SDF GLS or signoff"
GPDK045_run2_core_conditioned_activity,"accelerated gap2 2.02536072 mW; active-wait idle 1.91083992 mW; literal 1 kSPS 100-sample prefix 1.91084079 mW; matched delta 0.00000087 mW",verification/asic_gpdk45_run2/power/activity_power_summary.csv,CONDITIONAL_PASS,"seed11 mapped 6045/6045 -access +rwc zero delay normalized SAIF; parse PASS not numeric coverage; prefix not Snapshot/decision; not silicon or energy/decision; AXI vectorless only"
