section,statement_id,claim_id,statement,evidence_path,status,limitation
2.4·2.5,RPT-001,CLM-001,"고정 RTL과 상위 구성의 기준 commit",project_registry/upstream_commits.yaml,SAFE,"로컬 경로가 아니라 repository URL과 commit을 authority로 사용"
I·2.1,RPT-002,CLM-019,"24시간 이상 Holter streaming은 설계 지향점",docs/LIMITATIONS_AND_CLAIM_BOUNDARY_KR.md,CAREFUL,"실제 24시간 정확도 처리시간 전력 미검증"
2.2,RPT-003,CLM-022,"대표 선행연구 범위의 제한적 차별성",project_registry/external_reference_registry.csv,CAREFUL,"세계 최초 또는 동일 연구 부재로 확대 금지"
I,RPT-004,CLM-006,"NSR CHF ARR AF 공개 데이터 구성",datasets/dataset_manifest.yaml,SAFE,"database-class confounding 존재"
I·2.1,RPT-005,CLM-003,"공통 30분 검증 조건",docs/DATASET_AND_EVALUATION_KR.md,SAFE,"하드웨어 최대 처리 길이가 아님"
I,RPT-006,CLM-006,"동일 원천 record chunk는 한 분할에만 포함",design/digital/docs/STRICT_RECORDWISE_PROTOCOL_KR.md,SAFE,"source record와 환자는 항상 동의어가 아님"
I·1.2,RPT-007,CLM-023,"30분 구간의 annotation 기반 라벨 대표성 및 데이터 품질 점검",docs/DATASET_AND_EVALUATION_KR.md,SAFE,"최종 RTL 입력은 annotation을 사용하지 않으며 database-class confounding이 남음"
1.1·2.3,RPT-008,CLM-001,"AFE ADC와 SNN RTL의 streaming 구조",docs/SYSTEM_OVERVIEW_KR.md,SAFE,"임상 진단 장치 주장이 아님"
2.1·2.3,RPT-009,CLM-002,"1 kSPS signed 12-bit 입력 규약",design/digital/reports/final/digital_input_contract.md,SAFE,"legacy raw 파일명의 AFF는 AF class를 의미"
2.2,RPT-010,CLM-003,"event QRS rhythm morphology와 두 시간척도 누적",docs/DIGITAL_ARCHITECTURE_KR.md,SAFE,"reader-facing grouping은 literal netlist가 아님"
2.3,RPT-011,CLM-003,"u_snapshot과 u_final 실제 RTL hierarchy",design/digital/rtl/snn_ecg_30min_final_top.v,SAFE,"top 내부 control logic을 가상 module로 만들지 않음"
2.3,RPT-012,CLM-002,"AXI-Lite control과 AXI-Stream sample input",design/digital/reports/final/digital_ip_scope_and_handoff.md,SAFE,"MicroBlaze system 자원은 Pure RTL 자원과 구분"
2.5·2.6,RPT-013,CLM-008,"Pure RTL 9719 LUT 5038 FF BRAM 0 DSP 0 WNS 8.184 ns",design/digital/reports/final/final_metrics.json,SAFE,"profiler build 9759 LUT 5049 FF와 혼합 금지"
2.5,RPT-014,CLM-009,"MicroBlaze 12494 LUT 8494 FF 16 BRAM 3 DSP WNS 0.097 ns",design/digital/reports/final/final_metrics.json,SAFE,"whole-system result"
2.4,RPT-015,CLM-013,"MATLAB LTspice XMODEL model-level consistency",tables/integration_evidence.csv,CAREFUL,"물리 AFE ADC 실측이 아님"
2.4,RPT-016,CLM-004,"Python RTL 36/36 and Final Membrane 144/144 equivalence",models/digital_equivalence/exact_cpp/results/equivalence_summary.json,SAFE,"classification accuracy가 아님"
2.4,RPT-017,CLM-011,"compact 36-case XMODEL RTL acceptance",verification/xmodel_rtl_acceptance_36case/output_equivalence_36case.csv,SAFE,"raw 30-minute dumps 36개를 모두 보유한다는 뜻은 아님"
2.4,RPT-018,CLM-012,"repo-contained raw XMODEL rerun 4/36",verification/xmodel_rtl_e2e/overall_summary.csv,SAFE,"32 raw dumps absent"
2.4,RPT-019,CLM-010,"FPGA class 36/36 and membranes 144/144",design/digital/reports/final/board_replay_36_batch_summary.json,SAFE,"hardware equivalence only"
2.5·2.6,RPT-020,CLM-004,"locked final 29/36 accuracy 80.56 percent Macro-F1 80.44 percent",design/digital/reports/final/final_metrics.json,SAFE,"database-class confounding remains"
1.2·2.5,RPT-021,CLM-014,"critical path observation pipeline split timing revalidation equivalence",verification/timing_optimization/RTL_TIMING_OPTIMIZATION_HISTORY_KR.md,CAREFUL,"historical hotspot resources are not final implementation resources"
2.5,RPT-022,CLM-015,"Exact C++ 1777.6998 ms versus FPGA active 36.0129 ms ratio 49.36",models/digital_equivalence/results/accelerator_benefit_summary.csv,CAREFUL,"active kernel time not end-to-end speedup"
2.5·2.6,RPT-023,CLM-016,"continuous 1 kSPS allocated estimate 142.0 mW",models/digital_equivalence/results/wearable_power_budget.csv,CAREFUL,"not measured board power"
2.5·2.6,RPT-024,CLM-017,"ideal complete power-gating average 2.991 uW",models/digital_equivalence/results/power_energy_summary.csv,CAREFUL,"conditional derived value not measured FPGA power"
